H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.03,5,0.3,mid,mid,6590,1977,4613,0.0008403039315417194,0.006130022549144891,0.0005589159514344036,0.002656052894751862,0.0014394589753295756,0.00664151299955927,0.0007130785833576129,0.003601037526959013,0.0003472529011837041,0.005897195828856522,0.0004778373385655468,0.0021260261324048484,FAIL
0.03,5,0.3,ALL,ALL,13180,3954,9226,,,,,0.001625770606683629,0.007487688249763248,0.0017325680785124683,0.003956170440059906,0.0005076225457361903,0.0058482281397413734,0.0009010021293510555,0.002701192665544727,FAIL
0.03,15,0.1,front,front,2218,222,1996,0.0018378289655087343,0.006752628922440096,0.0022920539250333126,0.0035550974325625913,0.004972961013128785,0.010703525780855953,0.0039114332393676175,0.005012496294960737,0.0010007609584837018,0.006158199583788359,0.0020336255391740707,0.003353990689375365,FAIL
0.03,15,0.1,mid,mid,2218,222,1996,0.0014642863752958267,0.00619493845036545,0.0005794298315933834,0.002626111600362021,0.004067006163241984,0.008008115200349287,0.0007492944713347814,0.0044407082134269,0.000736293874624466,0.0059591571849236915,0.0005573356946929038,0.0023386949967269363,FAIL
0.03,15,0.1,ALL,ALL,4436,444,3992,,,,,0.004519983588185384,0.00935582049060262,0.0023303638553511994,0.004726602254193819,0.0008685274165540839,0.006058678384356026,0.0012954806169334873,0.0028463428430511506,FAIL
0.03,15,0.2,front,front,2218,444,1774,0.0018378289655087343,0.006752628922440096,0.0022920539250333126,0.0035550974325625913,0.00370397034933895,0.00902756435606522,0.0036193648148441383,0.004457162381065237,0.000887578362743661,0.006050461262232806,0.0018134551289019918,0.003290708999525693,FAIL
0.03,15,0.2,mid,mid,2218,444,1774,0.0014642863752958267,0.00619493845036545,0.0005794298315933834,0.002626111600362021,0.0030158190926412786,0.007057937568155194,0.0006269847651249063,0.003925255413268435,0.0006351666459299511,0.0059592884848879354,0.0005668967451420198,0.002182903990618151,FAIL
0.03,15,0.2,ALL,ALL,4436,888,3548,,,,,0.0033598947209901144,0.008042750962110207,0.0021231747899845225,0.004191208897166836,0.000761372504336806,0.00600487487356037,0.001190175937022006,0.002736806495071922,FAIL
0.03,15,0.3,front,front,2218,665,1553,0.0018378289655087343,0.006752628922440096,0.0022920539250333126,0.0035550974325625913,0.003134287822213729,0.008330071368467726,0.0033231454509179245,0.00415985236360825,0.0007845859737140062,0.005950090474539034,0.0016651450138472257,0.003261837096514716,FAIL
0.03,15,0.3,mid,mid,2218,665,1553,0.0014642863752958267,0.00619493845036545,0.0005794298315933834,0.002626111600362021,0.002525783964696362,0.006778224925452083,0.0006192574162675734,0.0035873331855140623,0.0005738741782096384,0.005927472363109766,0.0005615006443747029,0.0020826354005861808,FAIL
