H,resample_min,move_pct,series_id,expiry,n_bars_all,n_bars_active,n_bars_quiet,best_imp_active,best_method_active,best_feature_active,best_imp_quiet,best_method_quiet,best_feature_quiet,verdict,rr25_rmse_carry_all,rr25_rmse_rough_all,rr25_rmse_rough_cond_carry_all,rr25_rmse_rough_recent_all,rr25_rmse_ar1_all,bf25_rmse_carry_all,bf25_rmse_rough_all,bf25_rmse_rough_cond_carry_all,bf25_rmse_rough_recent_all,bf25_rmse_ar1_all,rr25_rmse_carry_active,rr25_rmse_rough_active,rr25_rmse_rough_cond_carry_active,rr25_rmse_rough_recent_active,rr25_rmse_ar1_active,bf25_rmse_carry_active,bf25_rmse_rough_active,bf25_rmse_rough_cond_carry_active,bf25_rmse_rough_recent_active,bf25_rmse_ar1_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,rr25_rmse_rough_cond_carry_quiet,rr25_rmse_rough_recent_quiet,rr25_rmse_ar1_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,bf25_rmse_rough_cond_carry_quiet,bf25_rmse_rough_recent_quiet,bf25_rmse_ar1_quiet
0.03,15,0.2,mid,mid,2218,444,1774,0.00031141666897838437,rough_cond_carry,rr25,0.009943428321755661,rough_cond_carry,bf25,MARGINAL,0.0014642863752958267,0.00619493845036545,0.001464344383685172,0.0034792506343946966,0.0014647883548215962,0.0005794298315933834,0.002626111600362021,0.0005777624845381504,0.0008991443175250738,0.0005519048530705484,0.0030158190926412786,0.007057937568155194,0.003014879916305207,0.004932827918819543,0.003015151778138116,0.0006269847651249063,0.003925255413268435,0.0006394294088815175,0.0011124155246074229,0.000616605753530354,0.0006351666459299511,0.0059592884848879354,0.0006364491061736551,0.0030071765794023255,0.000637403365631152,0.0005668967451420198,0.002182903990618151,0.0005612598479908636,0.0008372735989186964,0.0005344773741480164
0.03,15,0.2,ALL,ALL,4436,888,3548,0.09651329331004302,rough_recent,bf25,0.02138729927475943,rough_cond_carry,bf25,MARGINAL,,,,,,,,,,,0.0033598947209901144,0.008042750962110207,0.003359750979203887,0.004847332415132365,0.0033617008660486295,0.0021231747899845225,0.004191208897166836,0.001939881796371556,0.0019182601987302573,0.001792467803985296,0.000761372504336806,0.00600487487356037,0.0007610027178002614,0.0028386412286525615,0.0007610272132827151,0.001190175937022006,0.002736806495071922,0.001164721288067299,0.001653337598592363,0.0011343922152013655
0.03,15,0.3,front,front,2218,665,1553,0.20646958346703226,rough_recent,bf25,0.0036694500801028058,rough_cond_carry,bf25,MARGINAL,0.0018378289655087343,0.006752628922440096,0.0018373118784574358,0.0032004371075516,0.001838428483667342,0.0022920539250333126,0.0035550974325625913,0.0021454893921564995,0.002522471580139082,0.0020420635988000657,0.003134287822213729,0.008330071368467726,0.003133303937721342,0.004262145662368956,0.003135644951146931,0.0033231454509179245,0.00415985236360825,0.0029870416800719998,0.0026370169938665375,0.002757607252886943,0.0007845859737140062,0.005950090474539034,0.0007845398454580702,0.002616852660698522,0.0007842687789143228,0.0016651450138472257,0.003261837096514716,0.0016590348473427812,0.0024717672580132286,0.0016427006075265533
0.03,15,0.3,mid,mid,2218,665,1553,0.00020511754618783538,rough_cond_carry,rr25,0.011892271234883995,rough_cond_carry,bf25,MARGINAL,0.0014642863752958267,0.00619493845036545,0.001464344383685172,0.0034792506343946966,0.0014647883548215962,0.0005794298315933834,0.002626111600362021,0.0005777624845381504,0.0008991443175250738,0.0005519048530705484,0.002525783964696362,0.006778224925452083,0.002525265882087323,0.004501409891338319,0.0025256389082052117,0.0006192574162675734,0.0035873331855140623,0.000628048045675061,0.0010537077377205978,0.0006081216820624023,0.0005738741782096384,0.005927472363109766,0.0005750613192283769,0.0029342566073603435,0.0005759738545496471,0.0005615006443747029,0.0020826354005861808,0.0005548231264132368,0.0008240925339850064,0.0005259814970318673
0.03,15,0.3,ALL,ALL,4436,1330,3106,0.08302376810924653,rough_cond_carry,bf25,0.0057430262505808365,rough_cond_carry,bf25,MARGINAL,,,,,,,,,,,0.0028300358934550455,0.007554148146959904,0.0028292849099043325,0.004381777776853637,0.0028306419296760714,0.001971201433592749,0.003873592774561156,0.0018075448628735303,0.0018453623657935677,0.0016828644674746727,0.0006792300759618223,0.005938781418824399,0.0006798005823432235,0.0027755546340294326,0.0006801213167319849,0.0011133228291109643,0.002672236248550448,0.001106928986878009,0.0016479298959991176,0.0010843410522792104
0.03,30,0.1,front,front,1109,111,998,0.21579620273784678,rough_recent,bf25,0.06938281412328803,rough_cond_carry,bf25,MARGINAL,0.0025553037329455516,0.0068794672978564975,0.0025575156477419692,0.004284776395321229,0.0025559880831002814,0.0024914032372503254,0.003548775899986678,0.0023010716268582272,0.0026711053510819066,0.002160524510957495,0.0066242276200077655,0.010828771839282105,0.006635908098677952,0.007789466938576713,0.006644689790442043,0.003514610183202374,0.0047242969384709635,0.003145188138352054,0.0027561706515635337,0.0027732481069024846,0.001539857630734044,0.006288155639710911,0.0015383386481334497,0.0036943260512436026,0.0015312806677745586,0.0023500848304624563,0.003392796510442881,0.002187029331496521,0.002661466495940904,0.0020811773455168
0.03,30,0.1,mid,mid,1109,111,998,0.0010603260425661209,rough_cond_carry,rr25,0.002009848228805601,rough_cond_carry,bf25,MARGINAL,0.002109553118170596,0.00629072416710089,0.002108858875638936,0.004507490529999504,0.0021096698999399414,0.0006314269707938344,0.002626633671269204,0.0006313312526467111,0.0010508575160113349,0.0005976367459356177,0.005608993484074026,0.008250447985980307,0.005603046122210279,0.007233958073331642,0.005602870956141124,0.0006904027508565948,0.004310162161898355,0.0006996548707124469,0.0013292068968619756,0.0006682464239711564,0.001201256376611172,0.0060332877405154615,0.001202990527268138,0.004093088230481307,0.001204660527059006,0.0006245165112173197,0.0023662234256569903,0.0006232613278133897,0.001015157089600797,0.0005892522769157368
0.03,30,0.1,ALL,ALL,2218,222,1996,0.08565251299876667,rough_cond_carry,bf25,0.05523788349973586,rough_cond_carry,bf25,MARGINAL,,,,,,,,,,,0.006116610552040895,0.009539609912631206,0.0061194771104441156,0.007511712505954178,0.006123780373291584,0.002102506467029484,0.004517229550184659,0.0019224215045322503,0.0020426887742127546,0.0017207472654368204,0.001370557003672608,0.006160721690113186,0.0013706645877007938,0.0038937071408624547,0.0013679705974167823,0.001487300670839888,0.002879509968049936,0.0014051453296549552,0.0018383117927708507,0.0013352148112162686
0.03,30,0.2,front,front,1109,222,887,0.21909616093321085,rough_recent,bf25,0.049004198146719205,rough_cond_carry,bf25,MARGINAL,0.0025553037329455516,0.0068794672978564975,0.0025575156477419692,0.004284776395321229,0.0025559880831002814,0.0024914032372503254,0.003548775899986678,0.0023010716268582272,0.0026711053510819066,0.002160524510957495,0.005072089280506884,0.009863964135376721,0.005081014704541209,0.006448302058166729,0.005095794014665849,0.0036129770367017465,0.004510849421450799,0.003196070606400774,0.0028213876384205454,0.0028452952195244805,0.0013113412202076795,0.005899677159158555,0.0013080719586559398,0.0035413107069550147,0.0012898051787522337,0.002119339077554954,0.003263578793315593,0.0020154825654583658,0.0026321059779262934,0.0019516587906869237
0.03,30,0.2,mid,mid,1109,222,887,0.022942881079334055,rough_cond_carry,bf25,-0.0011746123339502128,rough_cond_carry,rr25,PASS,0.002109553118170596,0.00629072416710089,0.002108858875638936,0.004507490529999504,0.0021096698999399414,0.0006314269707938344,0.002626633671269204,0.0006313312526467111,0.0010508575160113349,0.0005976367459356177,0.004297543252831925,0.0076090600246463405,0.004294818411510156,0.006444495611501912,0.0042988145474614865,0.0007385127543052644,0.004016529002296328,0.0007215691440076673,0.0013798063706809156,0.0006747163145596967,0.0009683167021967297,0.005914534925182783,0.0009694540989383,0.003873239711505052,0.000967220311524127,0.0006016161266338377,0.0021414174233152926,0.0006066214101766224,0.0009507677278271889,0.0005767115641462917
