H,resample_min,move_pct,expiry,n_bars_all,n_bars_active,n_bars_quiet,rr25_rmse_carry_all,rr25_rmse_rough_all,bf25_rmse_carry_all,bf25_rmse_rough_all,rr25_rmse_carry_active,rr25_rmse_rough_active,bf25_rmse_carry_active,bf25_rmse_rough_active,rr25_rmse_carry_quiet,rr25_rmse_rough_quiet,bf25_rmse_carry_quiet,bf25_rmse_rough_quiet,verdict
0.1,5,0.2,2025-09-24,154,31,123,0.0007663797734437434,0.006384068755550033,0.000662258696800576,0.000984705725017257,0.001537825679522411,0.004157004392285032,0.0009372213387994313,0.0008811349272385029,0.0005545376236601203,0.005876921696617667,0.0006165468106837465,0.0010088895977020144,PASS
0.1,5,0.2,2025-09-25,154,31,123,0.0007916923559306664,0.0029177828503920734,0.0007522299725385582,0.0008100238343544437,0.0015556910539472636,0.002688338233611098,0.000809827445236054,0.0007063951179672891,0.0006802752377410468,0.0030944620655235277,0.0007440932429443846,0.0008443955201330086,PASS
0.1,5,0.2,2025-09-26,154,31,123,0.0005508293687800513,0.001260390526417547,0.0007138567319525107,0.000687538018148874,0.0010984781992558889,0.0013001957200228246,0.0008453073026776578,0.0006523857976867453,0.0005861183051541935,0.0012648092418124511,0.0007409616795838307,0.0006989629858273512,MARGINAL
0.1,5,0.2,2025-09-29,154,31,123,0.00039906320000703113,0.004267585702081782,0.0006527787140362066,0.0005934969231818577,0.0007620137198304293,0.004136928738656797,0.0008383703544861225,0.0006969189538678185,0.0004464081612060284,0.004216897123341167,0.0005902347381567402,0.0005856744831067932,MARGINAL
0.1,5,0.2,2025-09-30,154,31,123,0.0004495155554409077,0.00184497040991756,0.0006160970786640745,0.000727758552695552,0.001046887472485234,0.00173747347501138,0.0008712037919357963,0.000791123935571163,0.0004749410788145962,0.001853613002676181,0.0005316113583481024,0.0007181093392804684,PASS
0.1,5,0.2,2025-10-01,154,31,123,0.0005302290286327201,0.001277078599351154,0.0006608420671988197,0.0009342824903849606,0.0010230714270157574,0.0014570815426979086,0.000998591686795333,0.0008361266519006906,0.0005609807271985923,0.0012936890776310704,0.0006245238362330346,0.0009740351767501941,PASS
0.1,5,0.2,2025-10-02,154,31,123,0.0007921679585329833,0.0023467510138533826,0.0006999915550003517,0.0008392601164797796,0.0012481710412888872,0.0021394063883115977,0.0006117927221651825,0.0007364043359373212,0.0007416832489711929,0.0022985150494448754,0.0007282575149379484,0.0008571658468327537,FAIL
0.1,5,0.2,2025-10-03,154,31,123,0.000613441658667889,0.0020028642938813104,0.0007955120380378786,0.000726466882817156,0.0012176853653026575,0.0022383342518943507,0.0010462773511634358,0.0008223736241397765,0.0006907600739958467,0.0019862591055351494,0.0007114474386211444,0.0007163467175588089,PASS
0.1,5,0.2,2025-10-06,154,31,123,0.0004044266455315325,0.00274878212310305,0.0006253133758652714,0.0006223667120661661,0.0008221286922032198,0.002590835393913726,0.0007966005264943263,0.0007064131127248274,0.00042694276155772696,0.00277893625198563,0.0005900844600969665,0.0005965202183622433,PASS
0.1,5,0.2,2025-10-07,154,31,123,0.00037370170726758694,0.0019557517297579307,0.0007091380492105122,0.0007740466200353444,0.0009926897597370915,0.0020850366052642738,0.0009736653770319927,0.0008661104682863268,0.00038591830631152135,0.00193201675205051,0.0006835914744369033,0.0007482287339873392,PASS
