H,resample_min,expiry,n_bars,rr25_rmse_carry,rr25_dir_carry,rr25_rmse_rough,rr25_dir_rough,rr25_rmse_rough_cond_carry,rr25_dir_rough_cond_carry,rr25_rmse_rough_recent,rr25_dir_rough_recent,rr25_rmse_ar1,rr25_dir_ar1,bf25_rmse_carry,bf25_dir_carry,bf25_rmse_rough,bf25_dir_rough,bf25_rmse_rough_cond_carry,bf25_dir_rough_cond_carry,bf25_rmse_rough_recent,bf25_dir_rough_recent,bf25_rmse_ar1,bf25_dir_ar1,atm_total_var_rmse_carry,atm_total_var_dir_carry,atm_total_var_rmse_rough,atm_total_var_dir_rough,atm_total_var_rmse_rough_cond_carry,atm_total_var_dir_rough_cond_carry,atm_total_var_rmse_rough_recent,atm_total_var_dir_rough_recent,atm_total_var_rmse_ar1,atm_total_var_dir_ar1,n_bars_full,rr25_resid_acf,rr25_resid_pval,bf25_resid_acf,bf25_resid_pval,alpha_mean,alpha_cv,gamma_mean,gamma_cv,best_imp,best_method,best_feature,verdict
0.15,15,2025-10-29,52.0,0.0020326412517755973,0.56,0.002108970405666177,0.56,0.0020753963423345958,0.56,0.0020968122124089997,0.54,0.0021126860285143735,0.52,0.0012609884628200956,0.52,0.0010913041319592035,0.7,0.0011391155696083035,0.56,0.0011368372615249266,0.7,0.0010762386438782814,0.6,2.5320133365456646e-05,0.44,2.5320133365456646e-05,0.44,2.5320133365456646e-05,0.44,2.5320133365456646e-05,0.44,2.6020087066700426e-05,0.46,52.0,0.1705081546853685,0.2364633705543524,0.2726583444674572,0.05540426443882293,-0.08790018791337323,0.020263142625423804,0.6591179412901287,0.2605495310689349,0.09845546169194536,rough_recent,bf25,PASS
0.15,15,2025-10-30,52.0,0.0018075812523550166,0.6,0.0033619224918193373,0.48,0.0018247724778138528,0.58,0.0029401040707026905,0.52,0.0018786785098970711,0.6,0.0013508330509695043,0.66,0.0012187691873055647,0.72,0.0013923650175141947,0.66,0.0011972304175759995,0.74,0.0013317882606588899,0.74,2.9713762847896863e-05,0.38,2.9713762847896863e-05,0.38,2.9713762847896863e-05,0.38,2.9713762847896863e-05,0.38,3.0421089496670033e-05,0.38,52.0,0.6758480253777701,7.227843494835889e-08,0.3521038938193851,0.012153582610530025,-0.09217265431167641,0.04817824044614413,0.6055680008432899,0.2824313637179006,0.11370956113582127,rough_recent,bf25,PASS
0.15,15,2025-10-31,52.0,0.001015891786286919,0.58,0.0039772911888996815,0.42,0.0010167422757013866,0.58,0.0037378742350751702,0.42,0.0010222114375731636,0.56,0.0010625700458924147,0.7,0.0010660977266991076,0.6,0.0010392179424230463,0.7,0.0010018994625453164,0.66,0.0010072205918795604,0.66,1.8445019688592903e-05,0.6,1.8445019688592903e-05,0.6,1.8445019688592903e-05,0.6,1.8445019688592903e-05,0.6,1.8484219372351808e-05,0.6,52.0,0.8275357767780442,1.2674044096309708e-13,0.34125629566070725,0.015295303291700363,-0.08920984757358208,0.06810512138589551,0.6573521184729129,0.2705594215836211,0.057097961288889235,rough_recent,bf25,PASS
0.15,15,2025-11-03,52.0,0.0009185857271684723,0.54,0.010065849952900927,0.48,0.0009165671681461843,0.54,0.007397328755270844,0.44,0.0009159191729177299,0.5,0.0007023398403742406,0.54,0.0008213248707183546,0.54,0.0006782544091146624,0.56,0.0008030758144449537,0.52,0.0007004524911142535,0.54,1.6105369646379687e-05,0.58,1.6105369646379687e-05,0.58,1.6105369646379687e-05,0.58,1.6105369646379687e-05,0.58,1.612476711600155e-05,0.58,52.0,0.9799673846575815,2.6852486799912357e-35,0.5705752424966162,1.516914849407616e-05,-0.08167816710021013,0.18514011025898655,0.7138074653019401,0.22946642349556476,0.03429312972868572,rough_cond_carry,bf25,PASS
0.15,15,2025-11-04,52.0,0.0006672330702826702,0.56,0.0026369308726347522,0.38,0.0006833828709910373,0.56,0.0031943777522293495,0.36,0.0006643790554267876,0.56,0.0006606871083310935,0.52,0.0007037315588933523,0.6,0.0006182684354849568,0.5,0.0006816323664115571,0.66,0.0006022592578407475,0.52,6.524936705754803e-06,0.62,6.524936705754803e-06,0.62,6.524936705754803e-06,0.62,6.524936705754803e-06,0.62,6.836167237286017e-06,0.6,52.0,0.8418721236948725,1.8738704640477482e-14,0.49671207421864166,0.00024345891172507467,-0.06628480844310966,0.07760298391642903,0.644212520151824,0.2135654592010073,0.06420387549756637,rough_cond_carry,bf25,PASS
0.15,15,2025-11-05,52.0,0.001071185890468761,0.52,0.0038949556471060895,0.5,0.0010804171546548245,0.5,0.0030345817378359258,0.52,0.001100555130629413,0.52,0.0006189592225386711,0.58,0.000931259277306974,0.66,0.0006078215382376348,0.54,0.0009161669293929384,0.68,0.0005925279104321233,0.6,1.076009016158669e-05,0.5,1.076009016158669e-05,0.5,1.076009016158669e-05,0.5,1.076009016158669e-05,0.5,1.0425110838092743e-05,0.5,52.0,0.8854062544916359,1.377629804004321e-17,0.6991770407890561,1.6255258540296812e-08,-0.06014271153447492,0.09064441250663172,0.49736629455887865,0.29012498037452633,0.017994213343093656,rough_cond_carry,bf25,MARGINAL
0.15,15,2025-11-06,52.0,0.0013287508716764162,0.54,0.003008101099695062,0.4,0.0013218282462346819,0.54,0.0025119672621658597,0.46,0.0013128732306825967,0.54,0.0007791283483808308,0.58,0.0006540676572398374,0.76,0.0007210782504103484,0.6,0.0006441993392698634,0.74,0.000730184909528083,0.6,1.7968183450484057e-05,0.62,1.7968183450484057e-05,0.62,1.7968183450484057e-05,0.62,1.7968183450484057e-05,0.62,1.8456973631151316e-05,0.62,52.0,0.7933471333305364,6.43214202763875e-12,0.10255870968987839,0.4784924264478223,-0.06217213811355683,0.07219641592709027,0.47573909240562495,0.21837251397493004,0.17317943749752426,rough_recent,bf25,PASS
0.15,15,2025-11-07,52.0,0.0011360063550201881,0.56,0.0015178054727036478,0.44,0.001143654472705625,0.54,0.0018145707268190099,0.52,0.0011529866567744726,0.54,0.0008726878484219908,0.66,0.00080666426749187,0.66,0.000870018269454039,0.66,0.0010168089454776713,0.64,0.0009194315789217777,0.64,2.0167567410690033e-05,0.42,2.0167567410690033e-05,0.42,2.0167567410690033e-05,0.42,2.0167567410690033e-05,0.42,2.0569310571490955e-05,0.46,52.0,0.508797822574578,0.00016135267217790342,0.15363434277605165,0.2867756518272425,-0.06896304116402353,0.03545982035541444,0.525390575072436,0.248078423163017,0.003059030755130772,rough_cond_carry,bf25,MARGINAL
0.15,15,2025-11-10,48.0,0.0011032302558283617,0.41304347826086957,0.0033194334545332336,0.391304347826087,0.0011736756172466918,0.41304347826086957,0.0024689974221676707,0.43478260869565216,0.0011183966190750478,0.43478260869565216,0.0007535645642192759,0.5217391304347826,0.0006372411869180046,0.6739130434782609,0.0006789034882844208,0.5434782608695652,0.0006183319634204738,0.6739130434782609,0.0006975085777162431,0.5434782608695652,1.932731302016486e-05,0.34782608695652173,1.932731302016486e-05,0.34782608695652173,1.932731302016486e-05,0.34782608695652173,1.932731302016486e-05,0.34782608695652173,1.95960918678578e-05,0.34782608695652173,48.0,0.8120452604039003,7.452548887828747e-12,0.25147831736964926,0.09181824574858005,-0.07401863635286192,0.06734115149493655,0.5703447187003735,0.21832729773068127,0.1794572186908877,rough_recent,bf25,PASS
0.15,15,2025-11-11,44.0,0.0017266115724995736,0.47619047619047616,0.001902787653414092,0.5714285714285714,0.0017250521953059224,0.47619047619047616,0.0019359121098602987,0.5952380952380952,0.001732443130653462,0.4523809523809524,0.0009718622061723229,0.5952380952380952,0.0008242848436053785,0.6666666666666666,0.0009094169916589873,0.5476190476190477,0.0008195013534882866,0.6190476190476191,0.0008746092608239046,0.5714285714285714,2.8802092996773564e-05,0.40476190476190477,2.8802092996773564e-05,0.40476190476190477,2.8802092996773564e-05,0.40476190476190477,2.8802092996773564e-05,0.40476190476190477,2.871175552612329e-05,0.42857142857142855,44.0,-0.2119360457017932,0.17784610464126632,0.28717576822211094,0.06518288273919592,-0.07286916148215189,0.025927629253558522,0.5559646454606504,0.26935362197094104,0.15677207295065948,rough_recent,bf25,PASS
0.15,15,2025-11-12,44.0,0.001084099822412474,0.47619047619047616,0.0023776432571153364,0.42857142857142855,0.0010741042201348062,0.5,0.0021683847321343785,0.40476190476190477,0.0011350549350584735,0.4523809523809524,0.0009561078550177963,0.6428571428571429,0.000896480004069348,0.6190476190476191,0.0009196531218219834,0.6428571428571429,0.0015019008472348168,0.5,0.0008979316588737734,0.6904761904761905,2.1222528835774326e-05,0.3333333333333333,2.1222528835774326e-05,0.3333333333333333,2.1222528835774326e-05,0.3333333333333333,2.1222528835774326e-05,0.3333333333333333,2.148316116128655e-05,0.3333333333333333,44.0,0.5673474195167867,8.928747732790679e-05,0.4246693486180359,0.005060571889527156,-0.07490543570451487,0.043868016654204464,0.5520277412098756,0.29415843349606624,0.03812826450958761,rough_cond_carry,bf25,PASS
0.15,15,2025-11-13,44.0,0.0016097690247734418,0.47619047619047616,0.004561866044502074,0.38095238095238093,0.0016935220572202423,0.47619047619047616,0.0036630113717675723,0.42857142857142855,0.0015959879590191344,0.47619047619047616,0.0007830050488757215,0.6190476190476191,0.0016636728138692098,0.6428571428571429,0.0007790196464268394,0.5952380952380952,0.0014124646519146403,0.6428571428571429,0.000776957771153881,0.5714285714285714,2.8337396884925024e-05,0.47619047619047616,2.8337396884925024e-05,0.47619047619047616,2.8337396884925024e-05,0.47619047619047616,2.8337396884925024e-05,0.47619047619047616,2.8307430179056597e-05,0.47619047619047616,44.0,0.7383228798032786,2.3967251127814998e-08,0.8252103878043181,1.7925850550817458e-11,-0.0711872884094731,0.07647958398215478,0.39980069018531306,0.4912503326138839,0.005089880907670487,rough_cond_carry,bf25,MARGINAL
0.15,15,2025-11-14,44.0,0.0017855792355982681,0.5238095238095238,0.0033164917468190684,0.5476190476190477,0.001784436819712514,0.5238095238095238,0.0034133426875763507,0.5238095238095238,0.0017911668102993114,0.5476190476190477,0.0010085863696462389,0.7142857142857143,0.0010345171414509488,0.6904761904761905,0.0009444796438679138,0.7380952380952381,0.0016899986346336176,0.6190476190476191,0.0009132148342477118,0.7857142857142857,4.198603639151426e-05,0.5238095238095238,4.198603639151426e-05,0.5238095238095238,4.198603639151426e-05,0.5238095238095238,4.198603639151426e-05,0.5238095238095238,4.269435528022632e-05,0.5238095238095238,44.0,0.3881674411365341,0.01107990338955501,0.347709000091218,0.024050247069663598,-0.06883785736590936,0.05802552518115579,0.13872996298890958,0.8017343969393435,0.0635609678136048,rough_cond_carry,bf25,PASS
