H,resample_min,expiry,n_bars,rr25_rmse_carry,rr25_dir_carry,rr25_rmse_rough,rr25_dir_rough,rr25_rmse_ar1,rr25_dir_ar1,bf25_rmse_carry,bf25_dir_carry,bf25_rmse_rough,bf25_dir_rough,bf25_rmse_ar1,bf25_dir_ar1,atm_total_var_rmse_carry,atm_total_var_dir_carry,atm_total_var_rmse_rough,atm_total_var_dir_rough,atm_total_var_rmse_ar1,atm_total_var_dir_ar1,rr25_resid_acf,rr25_resid_pval,bf25_resid_acf,bf25_resid_pval,alpha_mean,alpha_cv,gamma_mean,gamma_cv,verdict
0.05,1,2025-08-18,762.0,0.0003039643511748446,0.6097883597883598,0.005416024416949435,0.5065963060686016,0.00030372082843453907,0.6015831134564644,0.00044443345962964217,0.5593667546174143,0.0006908359017191383,0.5849802371541502,0.00041472240432661534,0.6007905138339921,2.8255346382210557e-06,0.5200534759358288,2.8255346382210557e-06,0.5200534759358288,2.841005462632091e-06,0.5092838196286472,0.9904221148100744,0.0,0.7306130598290391,9.733655673817772e-128,-0.04707296768338035,0.12839395552697577,0.3423241029329738,0.2165367911456554,FAIL
0.05,1,2025-08-19,762.0,0.00030262433852726225,0.6153846153846154,0.0015309477589943781,0.4940554821664465,0.0003041693674620334,0.6150793650793651,0.00047294368971799553,0.5915119363395226,0.0007697819661202786,0.6089828269484808,0.00043643633348628157,0.6150793650793651,5.286916272180517e-06,0.5297297297297298,5.286916272180517e-06,0.5297297297297298,5.400682837444538e-06,0.5040106951871658,0.9369888165481397,0.0,0.7922484280443545,8.912101471092575e-165,-0.043712161197755485,0.05432585483285007,0.36982007923410265,0.27536224606230203,FAIL
0.05,1,2025-08-20,762.0,0.00024101803651326752,0.5963060686015831,0.002351307501775943,0.5098814229249012,0.0002432910087426323,0.5915678524374176,0.0005573604909120119,0.600263852242744,0.0006275425187632686,0.6073781291172595,0.0004987534652796831,0.5849802371541502,3.209266234492711e-06,0.5190217391304348,3.209266234492711e-06,0.5190217391304348,3.255176287976034e-06,0.5160857908847185,0.9811563538224513,0.0,0.5761794026723437,1.9715288309156493e-68,-0.04242251531842684,0.0834226497974525,0.43285053657948575,0.21129045376282815,FAIL
0.05,1,2025-08-21,381.0,0.00022377572976431956,0.5809018567639257,0.000576648389195884,0.5661375661375662,0.00022436639269440454,0.5873015873015873,0.0005185874895014954,0.6068601583113457,0.0005454236749043022,0.6015831134564644,0.00045948929960763557,0.6253298153034301,2.6746466136975547e-06,0.5444743935309974,2.6746466136975547e-06,0.5444743935309974,2.7064617918436485e-06,0.5267379679144385,0.8721353588136297,4.2714070156044914e-119,0.561862613227686,6.406474494821364e-33,-0.04303911632399971,0.02176270018206445,0.4471315803082776,0.18321044782588558,FAIL
0.05,1,ALL,635.0,0.0003697770814844995,0.5996512131304234,0.0022487341011836284,0.5305884892681435,0.0003710853088439213,0.6026414234943546,0.0005742615989871866,0.5884293258709646,0.0006689644320806645,0.6141527318515121,0.000507299153202258,0.6222011222006693,4.2970826914231335e-06,0.5244177304570982,4.2970826914231335e-06,0.5244177304570982,4.340407729411708e-06,0.5154190138097435,0.9109582293288755,2.845071403880623e-73,0.5828877340666994,7.277273150061039e-16,-0.044293922062436035,0.06356731371825294,0.36721261586492454,0.21482309047377365,FAIL
0.05,5,2025-08-14,77.0,0.0006589558261878565,0.5066666666666667,0.0007506236147188641,0.56,0.0006634473522251893,0.49333333333333335,0.0008847447162686453,0.68,0.0006765579482378212,0.7333333333333333,0.0007815805851747135,0.7066666666666667,9.773261878867337e-06,0.5066666666666667,9.773261878867337e-06,0.5066666666666667,9.664683823193392e-06,0.5466666666666666,0.42062751114344826,0.00017165082085871824,0.017307837288256214,0.8828291487803629,-0.04372341923032743,0.01873559662538804,0.2961033928704393,0.19278257470095544,PASS
0.05,5,2025-08-15,154.0,0.0011332716282288157,0.6842105263157895,0.0030707511279178725,0.5526315789473685,0.0011597242695234032,0.6644736842105263,0.0008986247756992903,0.631578947368421,0.0006867505515019748,0.7105263157894737,0.0007351733168356686,0.7171052631578947,1.2110699230949142e-05,0.46710526315789475,1.2110699230949142e-05,0.46710526315789475,1.2407186357577846e-05,0.4605263157894737,0.8546140262923471,1.5436744689232784e-44,0.11646525937638416,0.15303458475074538,-0.04560653077811202,0.0772779440813409,0.3138630104904607,0.20019333900294628,PASS
0.05,5,2025-08-18,154.0,0.0005783229963604953,0.5526315789473685,0.0054162048460691635,0.506578947368421,0.0005842601357837385,0.5328947368421053,0.0006412099063393464,0.625,0.0006697640906170063,0.7039473684210527,0.0005889202541266166,0.6776315789473685,5.38751361975479e-06,0.45394736842105265,5.38751361975479e-06,0.45394736842105265,5.506933114860976e-06,0.4342105263157895,0.9559293337738154,9.889717965188181e-82,0.36895811091484165,2.905745581240741e-06,-0.04703985132576804,0.12814057822594024,0.3398404216562086,0.21466427641458335,MARGINAL
0.05,5,2025-08-19,154.0,0.0006276769582303912,0.5197368421052632,0.0016029579917911899,0.4342105263157895,0.0006430718942501869,0.506578947368421,0.0006784502542830631,0.6710526315789473,0.0007699970576602096,0.6381578947368421,0.0006231583459308048,0.6118421052631579,1.1469142001734964e-05,0.5666666666666667,1.1469142001734964e-05,0.5666666666666667,1.2525218460130112e-05,0.4768211920529801,0.7683517778581612,7.169228131117267e-31,0.5391063773520428,7.762098499312283e-13,-0.04370236941298577,0.053852287510297574,0.3687927909036517,0.27564748145258644,FAIL
0.05,5,2025-08-20,154.0,0.00041664455877844195,0.5921052631578947,0.0023794617859441867,0.506578947368421,0.00041836720319331737,0.5789473684210527,0.0006870677081563875,0.6052631578947368,0.0006383237012511447,0.6710526315789473,0.0006123129951543719,0.618421052631579,5.813146744290369e-06,0.5263157894736842,5.813146744290369e-06,0.5263157894736842,5.8786096556755485e-06,0.5,0.9370481129657986,2.0053948158855184e-70,0.3352878420697809,2.416450803555527e-05,-0.042440292223276915,0.08310900064028061,0.4306949252875164,0.21104587573506942,PASS
0.05,5,2025-08-21,77.0,0.0003834186326017343,0.56,0.0006246682495488908,0.5066666666666667,0.00038237767562819807,0.52,0.0006840417776355017,0.6133333333333333,0.0005377981974266972,0.6666666666666666,0.0006056210361598432,0.68,4.10639114526096e-06,0.5466666666666666,4.10639114526096e-06,0.5466666666666666,4.245466440209427e-06,0.4533333333333333,0.6669309639092764,6.460214379845572e-11,0.16676197773501972,0.1527230184633207,-0.04306738173035741,0.021590235382207567,0.44388164942545977,0.18268432908195859,PASS
0.05,5,ALL,128.33333333333334,0.0006330484333979559,0.5692251461988305,0.0023074446026650278,0.5111111111111112,0.0006418747551006722,0.5493713450292398,0.000745689856397039,0.637704678362573,0.000663198591115809,0.6872807017543859,0.0006577944222303365,0.6686111111111112,8.110025770142927e-06,0.5112280701754387,8.110025770142927e-06,0.5112280701754387,8.371349641941217e-06,0.4785930056930405,0.7672502876571411,2.8608480910143676e-05,0.25731456745605424,0.198102303708137,-0.04426330745013793,0.06378427374424249,0.3655293651056228,0.21283631273134995,PASS
0.05,15,2025-08-14,26.0,0.0008584143328973198,0.7083333333333334,0.000823653709563618,0.625,0.0008584143328973198,0.7083333333333334,0.0007447995803303888,0.5833333333333334,0.000759356761935477,0.6666666666666666,0.0007447995803303888,0.5833333333333334,1.3462632498721303e-05,0.625,1.3462632498721303e-05,0.625,1.3462632498721303e-05,0.625,0.16114315798565143,0.45191225388294537,0.41216394151847024,0.04535264088127845,-0.04369474417873054,0.019822383374191208,0.29267225096477534,0.21486064900876306,MARGINAL
0.05,15,2025-08-15,52.0,0.0013756929622469327,0.68,0.003009486994866449,0.54,0.0013926306808762043,0.68,0.0009416406360826203,0.54,0.0007283500097642814,0.74,0.0009228155778083941,0.56,1.9105419243584118e-05,0.56,1.9105419243584118e-05,0.56,1.9209137780600973e-05,0.54,0.7512257296470816,3.28363706411321e-10,0.07353916354780649,0.6117786260210949,-0.04569387022438904,0.07297720443734262,0.32170443408072014,0.20312117319680903,PASS
0.05,15,2025-08-18,52.0,0.0009060409623786616,0.7,0.005384633620170722,0.52,0.0009230251537952375,0.64,0.000635456729142286,0.5,0.000676968760754919,0.8,0.000598321994165724,0.68,8.976834024642128e-06,0.46,8.976834024642128e-06,0.46,9.05248059862091e-06,0.48,0.9015643450765268,4.3291761735962125e-19,0.46692493638060256,0.0006301994533887112,-0.047060372165047396,0.12771040355120075,0.344378958360689,0.2043028090046737,FAIL
0.05,15,2025-08-19,52.0,0.0010489714976230915,0.52,0.001708356165033441,0.44,0.0011729420291286994,0.52,0.0007292227012538223,0.58,0.0007883993636709974,0.68,0.0006817475315977526,0.58,1.876320980587657e-05,0.48,1.876320980587657e-05,0.48,2.0030339866546666e-05,0.4,0.3353862135084634,0.017267129967528477,0.39049809587625844,0.005052624361228435,-0.04378091406009908,0.052324448210573034,0.373765065511571,0.27681189063100137,FAIL
0.05,15,2025-08-20,52.0,0.000708621602972392,0.52,0.0025139300030461794,0.46,0.0007155732098197715,0.52,0.0007046280827589806,0.7,0.0006178373546646097,0.7,0.0006376162999327559,0.72,8.670455601682759e-06,0.42,8.670455601682759e-06,0.42,8.739710994577226e-06,0.42,0.898508664088311,8.703274702244755e-19,0.2086542324593781,0.14590446250434233,-0.042497186913403165,0.08308842362906776,0.43708318443608385,0.19431396034117604,PASS
0.05,15,2025-08-21,26.0,0.0005683171850858778,0.4583333333333333,0.0007093737379949184,0.5,0.0005683171850858778,0.4583333333333333,0.0007757952898139937,0.7083333333333334,0.0005803808441477488,0.7916666666666666,0.0007757952898139937,0.7083333333333334,5.115956519270522e-06,0.3333333333333333,5.115956519270522e-06,0.3333333333333333,5.115956519270522e-06,0.3333333333333333,0.4530348825671896,0.02620533397902136,-0.07843795572148847,0.7156231771258409,-0.0430455959680388,0.020950188194363284,0.430621786126702,0.1788956335241266,PASS
0.05,15,ALL,43.333333333333336,0.0009110097572007126,0.5977777777777779,0.002358239038445888,0.5141666666666667,0.0009384837652671851,0.5877777777777778,0.0007552571698970154,0.6019444444444445,0.0006918821824896722,0.7297222222222223,0.0007268493789415014,0.6386111111111112,1.2349084615629566e-05,0.4797222222222222,1.2349084615629566e-05,0.4797222222222222,1.2601709709722935e-05,0.4663888888888889,0.5834771654788707,0.08256411969297649,0.24555706901017124,0.25405695505786224,-0.044295447251618,0.06281217523278977,0.3667042799134235,0.21205101928442496,PASS
0.05,30,2025-08-15,26.0,0.0014237981259699506,0.5416666666666666,0.003134711133568708,0.4583333333333333,0.0014237981259699506,0.5416666666666666,0.0008250079889742619,0.625,0.0007121290783485859,0.7916666666666666,0.0008250079889742619,0.625,2.4698850429978212e-05,0.4583333333333333,2.4698850429978212e-05,0.4583333333333333,2.4698850429978212e-05,0.4583333333333333,0.8473851625162017,1.7480465961522022e-07,0.07295644352989812,0.7347724189247071,-0.04588134513452557,0.07137728679330026,0.3234402973625361,0.18262167587165742,PASS
0.05,30,2025-08-18,26.0,0.0012465508393353843,0.4583333333333333,0.005390160496747532,0.5416666666666666,0.0012465508393353843,0.4583333333333333,0.0007248372538414777,0.6666666666666666,0.0007469625143396274,0.7083333333333334,0.0007248372538414777,0.6666666666666666,1.166740886604556e-05,0.5416666666666666,1.166740886604556e-05,0.5416666666666666,1.166740886604556e-05,0.5416666666666666,0.7714139861572409,1.0185280368977619e-05,0.34721000152805825,0.09644254115858325,-0.0470234499569733,0.12646110941817817,0.3426012361783858,0.20693014501021995,MARGINAL
0.05,30,2025-08-19,26.0,0.001139028446080916,0.4583333333333333,0.001761763278285439,0.4583333333333333,0.001139028446080916,0.4583333333333333,0.0007981177249279822,0.5833333333333334,0.0008372957252280351,0.6666666666666666,0.0007981177249279822,0.5833333333333334,2.152511605095445e-05,0.5833333333333334,2.152511605095445e-05,0.5833333333333334,2.152511605095445e-05,0.5833333333333334,0.5285138900624501,0.00793046792492724,0.4488067797488191,0.027816645435015674,-0.043795022914558626,0.04910678326567236,0.37295888817310147,0.29899318021414406,MARGINAL
0.05,30,2025-08-20,26.0,0.0009589999212429383,0.625,0.002613258636473447,0.4166666666666667,0.0009589999212429383,0.625,0.0006496239783543688,0.5833333333333334,0.0005756312182085373,0.875,0.0006496239783543688,0.5833333333333334,1.1193690689524486e-05,0.3333333333333333,1.1193690689524486e-05,0.3333333333333333,1.1193690689524486e-05,0.3333333333333333,0.8024944539447748,2.3867884424220036e-06,0.1479702805512695,0.49018239709192024,-0.042491480627003746,0.08498022142961437,0.4333899523943735,0.17645782733885415,PASS
